timestamp,PRCP,SNOW,TMAX,TMIN
2006-01-01,0.8,0.0,7.2,-3.3
2006-01-02,9.4,0.0,5.6,4.4
2006-01-03,0.0,0.0,5.6,3.9
2006-01-04,0.5,0.0,6.1,2.2
2006-01-05,0.0,0.0,2.8,-0.6
2006-01-06,0.0,0.0,-0.6,-2.2
2006-01-07,0.0,0.0,3.9,-2.2
2006-01-08,0.0,0.0,7.2,0.0
2006-01-09,0.0,0.0,3.3,0.6
2006-01-10,1.3,0.0,3.3,-6.7
